255,0,0
0,255,0
0,0,255
255,255,0
0,255,255
255,0,255
0,128,0
128,0,0
0,0,128
128,0,128
128,128,0
0,128,128
255,128,0
128,255,0
255,0,128
128,0,255
0,128,255
0,255,128
46,139,87
70,130,180
147,112,219
189,183,107
199,21,133
255,0,0
0,255,0
0,0,255
255,255,0
0,255,255
255,0,255
0,128,0
128,0,0
0,0,128
128,0,128
128,128,0
0,128,128
255,128,0
128,255,0
255,0,128
128,0,255
0,128,255
0,255,128
46,139,87
70,130,180
255,0,0
0,255,0
0,0,255
255,255,0
0,255,255
255,0,255
0,128,0
128,0,0
0,0,128
128,0,128
128,128,0
0,128,128
255,128,0
128,255,0
255,0,128
128,0,255
0,128,255
0,255,128
46,139,87
70,130,180
147,112,219
189,183,107
199,21,133
255,0,0
0,255,0
0,0,255
255,255,0
0,255,255
255,0,255
0,128,0
128,0,0
0,0,128
128,0,128
128,128,0
0,128,128
255,128,0
128,255,0
255,0,128
128,0,255
0,128,255
0,255,128
46,139,87
70,130,180
147,112,219
189,183,107
199,21,133
255,0,0
0,255,0
0,0,255
255,255,0
0,255,255
255,0,255
0,128,0
128,0,0
0,0,128
128,0,128
128,128,0
0,128,128
255,128,0
128,255,0
255,0,128
128,0,255
0,128,255
0,255,128
46,139,87
70,130,180
147,112,219
189,183,107
199,21,133
255,0,0
0,255,0
0,0,255
255,255,0
0,255,255
255,0,255
0,128,0
128,0,0
0,0,128
128,0,128
128,128,0
0,128,128
255,128,0
128,255,0
255,0,128
128,0,255
0,128,255
0,255,128
46,139,87
70,130,180
147,112,219
189,183,107
199,21,133
